[BC]	[Info]	WRWA	88.7 FM	Dothan, AL	Troy State University	Public Radio
[BC]	[Info]	WSBM	1340 AM	Florence, AL		Sports
[BC]	[Info]	WSGN	91.5 FM	Gadsden, AL		Public Radio
[Info]	WSGQ (LPFM)	103.3 LPFM	Columbia, AL		Variety
[Info]	WSHF (LPFM)	92.3 LPFM	Sheffield, AL		Variety
[BC]	[Info]	WSJA	91.3 FM	York, AL		Religious
[BC]	[Info]	WSJL	88.1 FM	Bessemer, AL		Religious
[BC]	[Info]	WSLY	104.9 FM	York, AL		Sports
[Info]	WSMX (LPFM)	98.3 LPFM	Clanton, AL		Adult Hits
[BC]	[Info]	WSTF	91.5 FM	Andalusia, AL		Religious
[BC]	[Info]	WSTH	106.1 FM	Alexander City, AL		Country
[BC]	[Info]	WTAK	106.1 FM	Hartselle, AL		Classic Rock
[BC]	[Info]	WTBB	89.9 FM	Gadsden, AL	Trinity Christian Academy	Religious
[Info]	WTBC	1230 AM	Tuscaloosa, AL		Country
[Info]	WTBF	970 AM	Troy, AL		Talk
[Info]	WTBF	94.7 FM	Brundidge, AL		Oldies
[BC]	[Info]	WTBJ	91.3 FM	Oxford, AL	Trinity Christian Academy	Religious
[BC]	[Info]	WTDR	1350 AM	Gadsden, AL		Country
[BC]	[Info]	WTDR	92.7 FM	Talladega, AL		Country
[Info]	WTGZ	93.9 FM	Union Springs, AL		Alternative
[Info]	WTID	103.9 FM	Thomaston, AL		Country
[Info]	WTKI	1450 AM	Huntsville, AL		Talk
[BC]	[Info]	WTLM	1520 AM	Opelika, AL		Country
[BC]	[Info]	WTLS	1300 AM	Tallassee, AL		Sports
[Info]	WTOF	1110 AM	Bay Minette, AL		Religious
[BC]	[Info]	WTSK	790 AM	Tuscaloosa, AL		Gospel Music
[BC]	[Info]	WTSU	89.9 FM	Montgomery-Troy, AL	Troy University	Public Radio
[BC]	[Info]	WTUG	92.9 FM	Northport, AL		Urban Contemporary
[BC]	[Info]	WTUS (LPFM)	103.3 LPFM	Tuscaloosa, AL		Travelers' Information
[BC]	[Info]	WTVY	95.5 FM	Dothan, AL		Country
[BC]	[Info]	WTWX	95.9 FM	Guntersville, AL		Country
[BC]	[Info]	WTXK	1210 AM	Pike Road, AL		Sports
[BC]	[Info]	WTXT	98.1 FM	Fayette, AL		Country
